AMLOC|Amlodipine cam. 5mg|Amodipin 5mg|아모디핀 정 5mg|한미약품|한미약품|AML000000|Amlodipine|
AMLOM|Amlodipine mal. 5mg|Anydipine Tab 5mg|애니디핀 정 5mg|종근당|종근당|AML000000|Amlodipine|
AMO-C|Amorolfine 0.25% 20g|Loceryl Cream 0.25%|로세릴 크림|갈더마|한국갈더마|AMO000001|Amorolfine|
AMO-L|Amorolfine 125mg/2.5ml|Loceryl nail lacquer 5% |로세릴 네일라카 2.5ml/EA|갈더마|한국갈더마|AMO000001|Amorolfine|
AMX|Amoxicillin 250mg|Amonex 250mg|아모넥스 정 250mg|영진약품|영진약품|AMO000002|Amoxicillin|
AMX-S|Amoxicillin 25mg/ml|Amonex 25mg/ml|아모넥스 시럽 25mg/ml|영진약품|영진약품|AMO000002|Amoxicillin|
AMX5|Amoxicillin 500mg|Amonex 500mg|아모넥스 캅셀 500mg|영진약품|영진약품|AMO000002|Amoxicillin|
AMXC|Augmentin(R) 375mg|Augmentin(R) 375mg|일성 오구멘틴 정 375mg|일성신약|일성신약|AMO000004|Amoxicillin/Potassium clavulanate|
AMXC-S|Augmentin(R) 31.25mg/ml|Augmentin(R) syrup|일성 오구멘틴 시럽 31.25mg/ml|일성신약|일성신약|AMO000004|Amoxicillin/Potassium clavulanate|
AMXC62|Augmentin(R) 625mg|Augmentin(R) 625mg|일성 오구멘틴 정 625mg|일성신약|일성신약|AMO000004|Amoxicillin/Potassium clavulanate|
ANAG|Anagrelide HCl 0.5mg|AGRYLIN CAP.|아그릴린 캅셀 0.5mg|Mallinckrldt chemical|유한양행|ANA000000|Anagrelide HCl|
ANAS|Anastrozole 1mg|Arimidex 1mg|아리미덱스 정 1mg|아스트라제네카|아스트라제네카|ANA000001|Anastrozole|
ANH4-C|AntheliosW40(R)100ml|Anthelios(R)W 40|안뗄리오스 W 40 겔 100ml/Tube|라로쉬포제|라로쉬포제|ANT000000|Anthelios(R)|
ANH6-C|AntheliosXL60(R)50ml|Anthelios(R)XL|안뗄리오스 XL 60 크림 50ml/Tube|라로쉬포제|라로쉬포제|ANT000000|Anthelios(R)|
APJ|Amphojel(R)|Amphojel(R)|암포젤 정|일동제약|일동제약|ALU000000|Aluminum hydroxide|
ARGI|Sulfile(R) 400mg|Sulfile(R)|술필 정 400mg|한독약품|한독약품|ARG000001|Arginine thiazolidine carboxylate|
ARIP|Aripiprazole 10mg|Abilify tab 10mg|아빌리파이 정 10mg|한국오츠카제약|한국오츠카제약|ARI000001|Aripiprazole|
ARIP15|Aripiprazole 15mg|Abilify tab 15mg|아빌리파이 정 15mg|한국오츠카제약|한국오츠카제약|ARI000001|Aripiprazole|
AROM|Aromin(R)|Aromin(R)|아로민 정|일동제약|일동제약|ARO000000|Aromin(R)|
AROT10|Arotinolol HCl 10mg|Almarl 10MG, tablet|알말 정 10mg|CJ|CJ|ARO000001|Arotinolol HCl|
ASP5|Aspirin 500mg|Aspirin 500mg|바이엘 아스피린 정 500mg|바이엘 |바이엘코리아|ASP000000|Aspirin|
ASPC|Aspirin coated 100mg|Astrix 100mg|보령 아스트릭스 캅셀 100mg|보령제약|보령제약|ASP000000|Aspirin|
ASPM|Aspirin micro 100mg|Rhonal 100mg|어린이 로날 정 100mg|근화제약|근화제약|ASP000000|Aspirin|
ASPP|Aspirin enteric. 100mg|Aspirin Protect 100mg|아스피린 프로텍트 정 100mg|바이엘|바이엘코리아|ASP000000|Aspirin|
ASTH-S|Asthma H(R) 2mg/5ml|Asthma H(R) 2mg/5ml|아스마에취 시럽|일양약품|일양약품|AST000000|Asthma H(R)|
ATACP|Atacand Plus 16/12.5mg|Atacand Plus Tab 16/12.5mg|아타칸플러스 정 16/12.5mg|아스트라제네카|아스트라제네카|CAN000001|Candesartan cilexetil/Hydrochlorothiazide|
ATEN|Atenolol 50mg|Tenormin 50mg|현대 테놀민 정 50mg|현대약품|현대약품|ATE000000|Atenolol|
ATEN2|Atenolol 25mg|Tenormin 25mg|현대 테놀민 정 25mg|현대약품|현대약품|ATE000000|Atenolol|
ATORV|Atorvastatin 10mg|Lipitor 10mg|리피토 정 10mg|한국화이자|제일약품|ATO000000|Atorvastatin|
ATORV4|Atorvastatin 40mg|Lipitor 40mg|리피토 정 40mg|한국화이자|제일약품|ATO000000|Atorvastatin|
ATR1-E|Atropine oph. 1% 5ml|Ocutropine oph. 1% 5ml|오큐트로핀 점안액 1% 5ml/EA|삼일제약|삼일제약|ATR000001|Atropine sulfate|
ATRET|Acitretin 10mg|Neotigason 10mg|네오티가손 캅셀 10mg|한국로슈|한국로슈|ACI000001|Acitretin|
AXC10|Augmex Duo(R) 875mg/125mg|Augmex Duo Tab|오그멕스듀오정|한국유나이티드|한국유나이티드|AMO000004|Amoxicillin/Potassium clavulanate|
AXC4-S|Augmex Duo(R) 45.7mg/ml|Augmex Duo syr|오그멕스듀오 시럽 45.7mg/ml|한국유나이티드|한국유나이티드|AMO000004|Amoxicillin/Potassium clavulanate|
AZAT|Azathioprine 50mg|Azathioprine PCH 50mg|아자치오프린 피씨에치 정 50mg|Pharmachemie |명지약품|AZA000000|Azathioprine|
AZEL|Azelastine 1mg|Azeptin 1mg|부광 아젭틴 정 1mg|부광약품|부광약품|AZE000001|Azelastine HCl|
AZEL-E|Azelastine 0.5mg/ml|Azelan eye drop|아제란 점안액|태준제약|태준제약|AZE000001|Azelastine HCl|
AZEL-N|Azelastine Nasal 10ml|Azeptin Nasal soln 10ml|아젭틴비액 10ml/EA|부광약품|부광약품|AZE000001|Azelastine HCl|
AZIN|Azintal Forte(R)|Azintal Forte(R)|아진탈 포르테 정|일양약품|일양약품|AZI000000|Azintal Forte(R)|
AZIT|Azithromycin 250mg|Zithromax 250mg|지스로맥스 정 250mg|한국화이자|한국화이자|AZI000001|Azithromycin|
AZIT-S|Azithromycin 40mg/ml|Zithromax 40mg/ml|지스로맥스 건조시럽 40mg/ml|한국화이자|한국화이자|AZI000001|Azithromycin|
AZL-O|Azelaic acid 10g|Azalea 10g|아젤리아 크림 10g/tube|한국쉐링|한국쉐링|AZE000000|Azelaic acid|
B250|Thiamine HCl 250mg|Thiamine HCl 250mg|염산치아민 캅셀 250mg|원내제제|원내제제|THI000000|Thiamine HCl|
B6|Pyridoxine 50mg|Pyridoxine 50mg|삼일 염산피리독신 정 50mg|삼일제약|삼일제약|PYR000002|Pyridoxine HCl|
BACL|Baclofen 10mg|Bacron 10mg|바크론 정 10mg|태준제약|태준제약|BAC000000|Baclofen|
BALO|Balofloxacin 100mg|Q-roxin tab 100mg|큐록신 정 100mg|중외제약|중외제약|BAL000000|Balofloxacin|
BARN|Barnidipine 5mg|Oldeca 5mg|올데카 캅셀 5mg|제일약품|한국야마노우찌|BAR000000|Barnidipine HCl|
BARN10|Barnidipine 10mg|Oldeca 10mg|올데카 캅셀 10mg|제일약품|한국야마노우찌|BAR000000|Barnidipine HCl|
BBR|Benzbromarone 50mg|Urinon tab, 50mg|유리논 정 50mg|한림제약|한림제약|BEN000004|Benzbromarone|
BCAA-K|BCAA 50g|Aminoleban EN 50g|아미노레반 이엔 산 50g/pkg|한국오츠카|한국오츠카|AMI000003|Aminoleban(R) EN|
BCALU|Bicalutamide 50mg|Casodex 50mg|카소덱스 정 50mg|아스트라제네카|아스트라제네카|BIC000000|Bicalutamide|
BCOM|Beecom(R)|Beecom(R)|삐콤 정|유한양행|유한양행|BEE000002|Beecom(R)|
BCP|Hyoscine 10mg|Buscopan 10mg|부스코판 당의정 10mg|한국베링거인겔하임|한국베링거인겔하임|HYO000000|Hyoscine-N-butylbromide|
BEAR|Bearse(R)|Bearse(R)|베아제 정|대웅제약|대웅제약|BEA000001|Bearse(R)|
BENO-L|Benoxinate 0.3%100ml|Benocaine(R)|베노카인 액 0.3% 100ml/BTL|태준제약|태준제약|BEN000001|Benoxinate HCl|
BENZ|Benztropine 2mg|Benztropine 2mg|환인 벤즈트로핀 정 2mg|환인제약|환인제약|BEN000006|Benztropine mesylate|
BEPO|Bepotastine 10mg|Talion Tab 10mg|타리온 정 10mg|동아제약|동아제약|BEP000001|Bepotastine besylate|
BERAP|Beraprost 20mcg|Berasil 20MCG|베라실 정 20mcg|제일약품|한국야마노우찌|BER000000|Beraprost sodium|
BERI-L|Beriplast P 1ml|Beriplast-P(Adhesive set)|베리플라스트-피 콤비셋트 1ml|한독약품|한독약품|BER000001|Beriplast(R) P|
BES-C|17B Estradiol 0.1% 50g|Estreva 0.1% 50g|에스트레바겔 0.1% 50g/TUBE|THERAMEX|삼일제약|17B000000|17B-estradiol|
BES1-K|17B Estradiol 1.5mg|Estran50 Patch|에스트란 50 패취 1.5mg/EA|삼양사|대웅제약|17B000000|17B-estradiol|
BESZ|Beszyme(R)|Beszyme(R)|베스자임 정|동아제약|동아제약|BES000000|Beszyme(R)|
BETH|Bethanechol 5mg|Besacolin Tab|한일 베사코린 정 5mg|한일약품|한일약품|BET000002|Bethanechol chloride|
BETH25|Bethanechol 25mg|Hinecol tab, 25mg|하이네콜정 25mg|일양약품|일양약품|BET000002|Bethanechol chloride|
BEZA|Bezafibrate 200mg|Bezalip 200mg|베자립 정 200mg|종근당|종근당|BEZ000000|Bezafibrate|
BH4|Tetrahydrobiopterin 10mg|Tetrahydrobiopterin Tab|테트라하이드로비옵테린 정 10mg|Schircks|한국스티펠|TET000004|Tetrahydrobiopterin|
BIOF|Bioflor(R) 250mg|Bioflor(R) 250mg|비오플 캅셀 250mg|건일제약|건일제약|SAC000000|Saccharomyces boulardii|
BIPE|Biperiden 2mg|Atol 2mg|아톨 정 2mg|한국유나이티드|한국유나이티드|BIP000000|Biperiden HCl|
BISA-Y|Bisacodyl 10mg|Dulcorax 10mg|둘코락스 좌약 10mg/EA|한국베링거인겔하임|한국베링거인겔하임|BIS000000|Bisacodyl|
BISOP|Bisoprolol 5mg|Concor 5mg|콩코르 정 5mg|머크 |한국머크|BIS000001|Bisoprolol hemifumarate|
BRIM1-E|Brimonidine 0.15% 5ml|Alphagan P 0.15% 5ml|알파간피점안액 5ml/EA|Allergan|삼일제약|BRI000000|Brimonidine tartrate|
BROC|Bromocriptine 2.5mg|Bromidine 2.5mg|부로미딘 정 2.5mg|환인제약|환인제약|BRO000002|Bromocriptine|
BROH|Bromhexine 8mg|Bisolvon 8mg|비졸본 정 8mg|한국베링거인겔하임|한국베링거인겔하임|BRO000001|Bromhexine HCl|
BRON4|Broncho vaxom (R) 40mg|Broncho vaxom(R)40mg|브롱코박솜 캅셀 40mg|웰화이드|녹십자|BRO000003|Broncho vaxom(R)|
BSS-L|BSS(R) 500ml|BSS(R) 500ml|알콘 비에스에스액 500ml/BTL|알콘|한국알콘|BSS000000|BSS(R)|
BSS1-L|BSS(R) 15ml|BSS(R) 15ml|알콘 비에스에스액 15ml/BTL|알콘|한국알콘|BSS000000|BSS(R)|
BSSP-L|BSS PLUS 500ml|BSS PLUS|비에스에스플러스 500ml|한국알콘|한국알콘|BSS000001|BSS Plus(R)|
BTK-P|BTK powder|BTK powder|비티케이 (파우더)| | |BTK000000|BTK powder|
BUDE|Budesonide 3mg|Budenofalk Cap. 3mg|부데노팔크 캅셀 3mg|Dr.Falk pharma|화리약품|BUD000000|Budesonide|
BUDE-A|Budesonide aerosol 200mcg/dose,100dose|Pulmicort aerosol|풀미코트에어로솔|아스트라제네카|아스트라제네카|BUD000000|Budesonide|
BUDE-I|Budesonide resp. 0.5mg/2ml|Pulmicort respules|풀미코트레스퓰분무용현탁액 0.5mg/2ml|아스트라제네카|아스트라제네카|BUD000000|Budesonide|
BUDE-T|Budesonide turbu. 200mcg/dose,100dose|Pulmicort turbuhaler|풀미코트터부헬러|아스트라제네카|아스트라제네카|BUD000000|Budesonide|
BUDE-Y|Budesonide 2.3mg|Entocort 2.3mg|엔토코트 2.3mg|아스트라제네카|아스트라제네카|BUD000000|Budesonide|
BUDE3-L|Budesonide nasal 32mcg/dose,240dose|Pulmicort nasal soln 32mcg/dose,240dose|유한풀미코트비액 32mcg/dose,240dose|유한양행|아스트라제네카|BUD000000|Budesonide|
BUPR|Bupropion 150mg|Wellbutrin SR|웰부트린 서방정 150mg|글락소스미스클라인|글락소스미스클라인|BUP000001|Bupropion HCl|
BUR4-L|Burrow 1:40 100ml|Burrow 1:40 100ml|버로우 용액 1:40 100ml/BTL|원내제제|원내제제|BUR000000|Burrow solution|
BUSP|Buspirone 5mg|Buspar 5mg|보령 부스파 정 5mg|보령제약|한국비엠에스|BUS000000|Buspirone HCl|
BUSU|Busulfan 2mg|Mairan 2mg|마이란 정 2mg|한국유나이티드|한국유나이티드|BUS000001|Busulfan|
BUT2-C|Butenafine 20g|Mentax 20g cream|멘탁스 크림 20g|영진약품|영진약품|BUT000000|Butenafine HCl|
BUTE-L|Butenafine 15ml|Mentax 15ml|영진 멘탁스 액 15ml/BTL|영진약품|영진약품|BUT000000|Butenafine HCl|
BXOL|Betaxolol 20mg|Kerlone 20mg|부광 켈론 정 20mg|부광약품|부광약품|BET000001|Betaxolol HCl|
BXOL-E|Betaxolol oph. 5ml|Betoptic oph. 5ml|베톱틱 점안액 5ml/EA|알콘|한국알콘|BET000001|Betaxolol HCl|
BXOL1|Betaxolol 10mg|Kerlone 10mg|부광 켈론 정 10mg|부광약품|부광약품|BET000001|Betaxolol HCl|
BZ5-L|Benzoyl peroxide 5% 226g|Benzac AC 5% 226g lotion|벤작에이씨워시로오숀 5% 226g/BTL|DPT Laboratoreis |한국갈더마|BEN000005|Benzoyl peroxide|
BZT-G|Benzethonium 0.01% 100ml|Care gargle 100ml/BTL|케어가글 액 100ml/BTL|한미약품|한미약품|BEN000014|Benzethonium chloride|
C1|Ascorbic acid 1g|C-All Tab 1g|씨올 정|일동제약|일동제약|ASC000000|Ascorbic acid|
C17P-L|Dermovate(R) 25ml|Dermovate(R) 25ml|더모베이트 액 25ml/BTL|글락소스미스클라인|글락소스미스클라인|CLO000001|Clobetasol-17-propionate|
C17P-O|Dermovate(R) 10g|Dermovate(R) 10g|더모베이트 연고 10g/Tube|글락소스미스클라인|글락소스미스클라인|CLO000001|Clobetasol-17-propionate|
CAAC|Ca acetate 667mg|Nephro 667mg|네프로 정 667mg|근화제약|근화제약|CAL000002|Calcium acetate|
CACA|Ca carbonate 500mg|Ca carbonate 500mg|태극 탄산칼슘 정 500mg|태극약품|태극약품|CAL000003|Calcium carbonate|
CACA-P|Ca carbonate powder|Ca carbonate powder|국전 침강탄산칼슘 (파우더)|국전원료약품|국전원료약품|CAL000003|Calcium carbonate|
CACH|Hardcal chew 1500mg/400IU|Hardcal chew Tab|하드칼츄어블 정 |부광약품|부광약품|CAL000012|Calcium Carbonate/Cholecalciferol|
CACIT|Ca citrate 950mg|Pluscal 950mg|프라스칼 정|아주약품|아주약품|CAL000005|Calcium citrate|
CADO|Ca dobesilate 250mg|Doxium 250mg|일성 독시움 정 250mg|일성신약|일성신약|CAL000006|Calcium dobesilate|
CAFE|Cafergot(R) 100mg/1mg|Cafergot(R)|카펠고트 정|노바티스|한국노바티스|CAF000000|Caffeine/Ergotamine tartrate|
CAGL-P|Ca gluconate powder|Ca gluconate powder|국전 글루콘산 칼슘 (파우더)| | |CAL000007|Calcium gluconate|
CALC|Calcitriol 0.25mcg|Bonky 0.25mcg|본키 연질캅셀 0.25mcg|유유산업|유유산업|CAL000001|Calcitriol|
CALC-O|Calcitriol 3mcg/g,30g|Silkis oint 3mcg/g, 30g |실키스 연고 3mcg/g, 30g|갈더마|갈더마코리아|CAL000001|Calcitriol|
CALTE|Calteo-40(R) 750mg/400IU|Calteo-40 Tab|칼테오-40 정|파마텍|유진팜|CAL000015|Calcium citrate/Cholecalciferol|
CAMO|Camostat 100mg|Foypan 100mg|일성 호이판 정 100mg|일성신약|일성신약|CAM000000|Camostat mesylate|
CANDE|Candesartan 8mg|Atacan 8mg Tablet|아타칸 정 8mg|아스트라제네카|아스트라제네카|CAN000000|Candesartan cilexetil|
CANDE16|Candesartan 16mg|Atacand Tab 16mg |아타칸 정 16mg|아스트라제네카|아스트라제네카|CAN000000|Candesartan cilexetil|
CAP2-C|Capsaicin 0.075% 20g|Diaxen cream|다이악센 크림 20g/Tube|극동제약|다림양행|CAP000001|Capsaicin|
CAPEC|Capecitabine 150mg|Xeloda 150mg|젤로다 정 150mg|로슈|한국로슈|CAP000000|Capecitabine|
CAPEC5|Capecitabine 500mg|Xeloda 500mg|젤로다 정 500mg|로슈|한국로슈|CAP000000|Capecitabine|
CAPT|Captopril 25mg|Capril 25mg|카프릴 정 25mg|보령제약|보령제약|CAP000002|Captopril|
CAPT12|Captopril 12.5mg|Capril 12.5mg|카프릴 정 12.5mg|보령제약|보령제약|CAP000002|Captopril|
CARB|Carbamazepine 200mg|Tegretol 200mg|테그레톨 정 200mg|노바티스|한국노바티스|CAR000001|Carbamazepine|
CARBCR|Carbamazepine CR 200mg|Tegretol CR 200mg|테그레톨씨알 정 200mg|노바티스|한국노바티스|CAR000001|Carbamazepine|
CARVE|Carvedilol 25mg|Dilatrend 25mg|딜라트렌 정 25mg|종근당|종근당|CAR000009|Carvedilol|
CAST-Z|Castor oil 30ml|Castor oil|국전 피마자 유| | |CAS000000|Castor oil|
CATA-E|Catalin(R) 15ml|Catalin(R) 15ml|카다린 점안액 15ml/EA|한일약품|한일약품|CAT000000|Catalin(R)|
CAVE12|Carvedilol 12.5mg|Dilatrend 12.5mg|딜라트렌 정 12.5mg|종근당|종근당|CAR000009|Carvedilol|
CBC|Chlorambucil 2mg|Leukeran 2mg|류케란 정 2mg|글락소스미스클라인|글락소스미스클라인|CHL000001|Chlorambucil|
CBZM|Clobazam 5mg|Sentil tab 5mg|센틸정 5mg|한독약품|한독약품|CLO000000|Clobazam|
CCR|Cefaclor 250mg|Cefaclor 250mg|종근당 세파클러 캅셀 250mg|종근당|종근당|CEF000000|Cefaclor|
CDP|Chlordiazepoxide 5mg|Liberty 5mg|리버티 정 5mg|환인제약|환인제약|CHL000003|Chlordiazepoxide HCl|
CDTR|Cefditoren 100mg|Meiact tab 100mg|메이액트 정 100mg|보령제약|보령제약|CEF000005|Cefditoren pivoxil|
CDTR-P|Cefditoren 100mg/g|Meiact fine granule 100mg/g|보령메이액트 세립 100mg/g|보령제약|보령제약|CEF000005|Cefditoren pivoxil|
CDX|Cefadroxil 500mg|Duricef 500mg|보령 듀리세프 캅셀 500mg|보령제약|보령제약|CEF000001|Cefadroxil monohydrate|
CELEC|Celecoxib 200mg|Celebrex 200mg|쎄레브렉스 캅셀 200mg|파마시아코리아|한국화이자|CEL000000|Celecoxib|
CENTR|Centrum(R)|Centrum Tab|센트룸 정|와이어스|한국와이어스|CEN000003|Centrum(R)|
CERU-L|Ceruminal water 7ml|Ceruminal water 7ml|세루미날워터 7ml/BTL| | |CER000001|Ceruminal water|
CETA-L|Cetaphil Lotion 200ml|Cetaphil(R) Lotion 200ml/Btl|세타필 모이스춰라이징 로션 200ml/BTL|갈더마|한국갈더마|CET000000|Cetaphil(R)|
CETC-L|Cetaphil Cleanser 125ml|Cetaphil Cleancer 125ml/Btl|세타필 젠틀 스킨클렌저 125ml/BTL|갈더마|한국갈더마|CET000000|Cetaphil(R)|
CETI|Cetirizine 10mg|Zyrtec 10mg|지르텍 정 10mg|한국유씨비|한국유씨비|CET000001|Cetirizine HCl|
CETI-S|Cetirizine 1mg/ml|Zyrtec 1mg/ml|지르텍 액 1mg/ml|한국유씨비|한국유씨비|CET000001|Cetirizine HCl|
CFD|Cefdinir 100mg|Omnicef 100mg|옴니세프 캅셀 100mg|제일약품|제일약품|CEF000004|Cefdinir|
CFD-P|Cefdinir 100mg/g|Omnicef 100mg/g|옴니세프 세립 소아용|제일약품|제일약품|CEF000004|Cefdinir|
CFDX|Cefpodoxime 100mg|Banan 100mg|바난 정 100mg|한일약품|한일약품|CEF000014|Cefpodoxime proxetil|
CFDX-S|Cefpodoxime 10mg/ml|Banan 10mg/ml|바난 건조시럽 10mg/ml|한일약품|한일약품|CEF000014|Cefpodoxime proxetil|
CFTZ|Cefatrizine 250mg|Ceritacin 250mg|세리타신 캅셀 250mg|참제약|참제약|CEF000021|Cefatrizine|
CFX|Cefixime 100mg|Cefix 100mg|세픽스 캅셀 100mg|한미약품|한미약품|CEF000007|Cefixime|
CFX-P|Cefixime 50mg/g|Suprax powder|동아 슈프락스 산|동아제약|동아제약|CEF000007|Cefixime|
CFZ|Cefprozil 250mg|Cefzil 250mg|세프질 정 250mg|비엠에스|한국비엠에스|CEF000015|Cefprozil|
CFZ-S|Cefprozil 25mg/ml|Cefzil 25mg/ml|세프질 건조시럽 25mg/ml|비엠에스|한국비엠에스|CEF000015|Cefprozil|
